@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute features-1 numeric
@attribute features-2 numeric
@attribute features-3 numeric
@attribute features-4 numeric
@attribute features-5 numeric
@attribute features-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
2145,'2025/11/27 11:07:09:998',21,4.388197,0.093767,4.474724,0.059041,0.584375,0.997222,0,0,0,0.6
2146,'2025/11/27 11:07:10:013',21,4.388197,0.093767,4.474724,0.059041,0.584375,0.997222,0,0,0,0.6
2147,'2025/11/27 11:07:10:187',21,4.394413,0.087986,4.453979,0.006216,0.584375,0.997222,0,0,0,0.6
2148,'2025/11/27 11:07:10:198',21,4.394413,0.087986,4.453979,0.006216,0.584375,0.997222,0,0,0,0.6
2149,'2025/11/27 11:07:10:214',21,4.394413,0.087986,4.453979,0.006216,0.584375,0.997222,0,0,0,0.6
2150,'2025/11/27 11:07:10:391',21,4.363597,0.08826,4.566008,0.030816,0.582812,0.997222,0,0,0,0.6
2151,'2025/11/27 11:07:10:418',21,4.363597,0.08826,4.566008,0.030816,0.582812,0.997222,0,0,0,0.6
2152,'2025/11/27 11:07:10:433',21,4.363597,0.08826,4.566008,0.030816,0.582812,0.997222,0,0,0,0.6
2153,'2025/11/27 11:07:10:610',21,4.382266,0.090421,4.555869,0.018668,0.584375,0.997222,0,0,0,0.6
2154,'2025/11/27 11:07:10:636',21,4.382266,0.090421,4.555869,0.018668,0.584375,0.997222,0,0,0,0.6
2155,'2025/11/27 11:07:10:651',21,4.382266,0.090421,4.555869,0.018668,0.584375,0.997222,0,0,0,0.6
2156,'2025/11/27 11:07:10:824',21,4.384595,0.089735,4.503859,0.00233,0.582812,0.997222,0,0,0,0.6
2157,'2025/11/27 11:07:10:839',21,4.384595,0.089735,4.503859,0.00233,0.582812,0.997222,0,0,0,0.6
2158,'2025/11/27 11:07:10:854',21,4.384595,0.089735,4.503859,0.00233,0.582812,0.997222,0,0,0,0.6
2159,'2025/11/27 11:07:11:033',21,4.382406,0.087331,4.543769,0.002189,0.582812,0.997222,0,0,0,0.6
2160,'2025/11/27 11:07:11:047',21,4.382406,0.087331,4.543769,0.002189,0.582812,0.997222,0,0,0,0.6
2161,'2025/11/27 11:07:11:063',21,4.382406,0.087331,4.543769,0.002189,0.582812,0.997222,0,0,0,0.6
2162,'2025/11/27 11:07:11:241',21,4.439238,0.088646,4.71227,0.056831,0.582812,0.997222,0,0,0,0.6
2163,'2025/11/27 11:07:11:267',21,4.439238,0.088646,4.71227,0.056831,0.582812,0.997222,0,0,0,0.6
2164,'2025/11/27 11:07:11:287',21,4.439238,0.088646,4.71227,0.056831,0.582812,0.997222,0,0,0,0.6
2165,'2025/11/27 11:07:11:478',21,4.369449,0.087448,4.59644,0.069789,0.582812,0.997222,0,0,0,0.6
2166,'2025/11/27 11:07:11:499',21,4.369449,0.087448,4.59644,0.069789,0.582812,0.997222,0,0,0,0.6
2167,'2025/11/27 11:07:11:515',21,4.369449,0.087448,4.59644,0.069789,0.582812,0.997222,0,0,0,0.6
2168,'2025/11/27 11:07:11:688',21,4.415467,0.085981,4.693543,0.046019,0.582812,0.997222,0,0,0,0.6
2169,'2025/11/27 11:07:11:700',21,4.415467,0.085981,4.693543,0.046019,0.582812,0.997222,0,0,0,0.6
2170,'2025/11/27 11:07:11:716',21,4.415467,0.085981,4.693543,0.046019,0.582812,0.997222,0,0,0,0.6
2171,'2025/11/27 11:07:11:890',21,4.413419,0.087496,4.594226,0.002048,0.582812,0.997222,0,0,0,0.6
2172,'2025/11/27 11:07:11:916',21,4.413419,0.087496,4.594226,0.002048,0.582812,0.997222,0,0,0,0.6
2173,'2025/11/27 11:07:11:932',21,4.413419,0.087496,4.594226,0.002048,0.582812,0.997222,0,0,0,0.6
2174,'2025/11/27 11:07:12:111',21,4.362956,0.08763,4.833323,0.050464,0.582812,0.997222,0,0,0,0.6
2175,'2025/11/27 11:07:12:137',21,4.362956,0.08763,4.833323,0.050464,0.582812,0.997222,0,0,0,0.6
2176,'2025/11/27 11:07:12:166',21,4.362956,0.08763,4.833323,0.050464,0.582812,0.997222,0,0,0,0.6
2177,'2025/11/27 11:07:12:357',21,4.360526,0.09174,4.955377,0.002429,0.582812,0.997222,0,0,0,0.6
2178,'2025/11/27 11:07:12:374',21,4.360526,0.09174,4.955377,0.002429,0.582812,0.997222,0,0,0,0.6
2179,'2025/11/27 11:07:12:405',21,4.360526,0.09174,4.955377,0.002429,0.582812,0.997222,0,0,0,0.6
2180,'2025/11/27 11:07:12:598',21,4.35088,0.091224,4.877749,0.009646,0.584375,0.997222,0,0,0,0.6
2181,'2025/11/27 11:07:12:613',21,4.35088,0.091224,4.877749,0.009646,0.584375,0.997222,0,0,0,0.6
2182,'2025/11/27 11:07:12:629',21,4.35088,0.091224,4.877749,0.009646,0.584375,0.997222,0,0,0,0.6
2183,'2025/11/27 11:07:12:800',21,4.401621,0.093511,4.96372,0.050741,0.585938,0.997222,0,0,0,0.6
2184,'2025/11/27 11:07:12:817',21,4.401621,0.093511,4.96372,0.050741,0.585938,0.997222,0,0,0,0.6
2185,'2025/11/27 11:07:12:832',21,4.401621,0.093511,4.96372,0.050741,0.585938,0.997222,0,0,0,0.6
2186,'2025/11/27 11:07:13:008',21,4.389605,0.096918,4.799516,0.012016,0.585938,0.997222,0,0,0,0.6
2187,'2025/11/27 11:07:13:033',21,4.389605,0.096918,4.799516,0.012016,0.585938,0.997222,0,0,0,0.6
2188,'2025/11/27 11:07:13:049',21,4.389605,0.096918,4.799516,0.012016,0.585938,0.997222,0,0,0,0.6
2189,'2025/11/27 11:07:13:223',21,4.343413,0.094605,4.84164,0.046192,0.585938,0.997222,0,0,0,0.6
2190,'2025/11/27 11:07:13:234',21,4.343413,0.094605,4.84164,0.046192,0.585938,0.997222,0,0,0,0.6
2191,'2025/11/27 11:07:13:249',21,4.343413,0.094605,4.84164,0.046192,0.585938,0.997222,0,0,0,0.6
2192,'2025/11/27 11:07:13:425',21,4.335094,0.095252,4.736882,0.008319,0.585938,0.997222,0,0,0,0.6
2193,'2025/11/27 11:07:13:449',21,4.335094,0.095252,4.736882,0.008319,0.585938,0.997222,0,0,0,0.6
2194,'2025/11/27 11:07:13:464',21,4.335094,0.095252,4.736882,0.008319,0.585938,0.997222,0,0,0,0.6
2195,'2025/11/27 11:07:13:641',21,4.38269,0.093928,4.765364,0.047596,0.585938,0.997222,0,0,0,0.6
2196,'2025/11/27 11:07:13:663',21,4.38269,0.093928,4.765364,0.047596,0.585938,0.997222,0,0,0,0.6
2197,'2025/11/27 11:07:13:685',21,4.38269,0.093928,4.765364,0.047596,0.585938,0.997222,0,0,0,0.6
2198,'2025/11/27 11:07:13:876',21,4.357778,0.089753,4.638273,0.024912,0.584375,0.997222,0,0,0,0.6
2199,'2025/11/27 11:07:13:899',21,4.357778,0.089753,4.638273,0.024912,0.584375,0.997222,0,0,0,0.6
2200,'2025/11/27 11:07:13:916',21,4.357778,0.089753,4.638273,0.024912,0.584375,0.997222,0,0,0,0.6
2201,'2025/11/27 11:07:14:092',21,4.377701,0.092461,4.772411,0.019923,0.582812,0.997222,0,0,0,0.6
2202,'2025/11/27 11:07:14:119',21,4.377701,0.092461,4.772411,0.019923,0.582812,0.997222,0,0,0,0.6
2203,'2025/11/27 11:07:14:135',21,4.377701,0.092461,4.772411,0.019923,0.582812,0.997222,0,0,0,0.6
2244,'2025/11/27 11:08:40:524',23,8.57342,0.344049,59.493568,0.031747,0.475,0.222222,1,0.2,0.5,0.2
2245,'2025/11/27 11:08:40:549',23,8.57342,0.344049,59.493568,0.031747,0.475,0.222222,1,0.2,0.5,0.2
2246,'2025/11/27 11:08:40:566',23,8.57342,0.344049,59.493568,0.031747,0.475,0.222222,1,0.2,0.5,0.2
2247,'2025/11/27 11:08:40:758',23,8.572723,0.336515,59.286499,0.000696,0.473437,0.219444,1,0.2,0.5,0.2
2248,'2025/11/27 11:08:40:782',23,8.572723,0.336515,59.286499,0.000696,0.473437,0.219444,1,0.2,0.5,0.2
2249,'2025/11/27 11:08:40:805',23,8.572723,0.336515,59.286499,0.000696,0.473437,0.219444,1,0.2,0.5,0.2
2250,'2025/11/27 11:08:40:989',23,8.444029,0.332279,58.481625,0.128695,0.46875,0.222222,1,0.2,0.5,0.2
2251,'2025/11/27 11:08:41:016',23,8.444029,0.332279,58.481625,0.128695,0.46875,0.222222,1,0.2,0.5,0.2
2252,'2025/11/27 11:08:41:030',23,8.444029,0.332279,58.481625,0.128695,0.46875,0.222222,1,0.2,0.5,0.2
2253,'2025/11/27 11:08:41:205',23,8.482101,0.326897,59.519585,0.038073,0.475,0.233333,1,0.2,0.5,0.2
2254,'2025/11/27 11:08:41:218',23,8.482101,0.326897,59.519585,0.038073,0.475,0.233333,1,0.2,0.5,0.2
2255,'2025/11/27 11:08:41:233',23,8.482101,0.326897,59.519585,0.038073,0.475,0.233333,1,0.2,0.5,0.2
2256,'2025/11/27 11:08:41:410',23,8.441501,0.331402,58.575474,0.040601,0.478125,0.236111,1,0.2,0.5,0.2
2257,'2025/11/27 11:08:41:427',23,8.441501,0.331402,58.575474,0.040601,0.478125,0.236111,1,0.2,0.5,0.2
2258,'2025/11/27 11:08:41:442',23,8.441501,0.331402,58.575474,0.040601,0.478125,0.236111,1,0.2,0.5,0.2
2259,'2025/11/27 11:08:41:618',23,8.455472,0.328607,58.259178,0.013971,0.476563,0.233333,1,0.2,0.5,0.2
2260,'2025/11/27 11:08:41:629',23,8.455472,0.328607,58.259178,0.013971,0.476563,0.233333,1,0.2,0.5,0.2
2261,'2025/11/27 11:08:41:645',23,8.455472,0.328607,58.259178,0.013971,0.476563,0.233333,1,0.2,0.5,0.2
2262,'2025/11/27 11:08:41:818',23,8.384603,0.326949,57.395813,0.070869,0.479688,0.236111,1,0.2,0.5,0.2
2263,'2025/11/27 11:08:41:831',23,8.384603,0.326949,57.395813,0.070869,0.479688,0.236111,1,0.2,0.5,0.2
2264,'2025/11/27 11:08:41:846',23,8.384603,0.326949,57.395813,0.070869,0.479688,0.236111,1,0.2,0.5,0.2
2265,'2025/11/27 11:08:42:020',23,8.427928,0.335273,57.537823,0.043325,0.484375,0.247222,1,0.2,0.5,0.2
2266,'2025/11/27 11:08:42:032',23,8.427928,0.335273,57.537823,0.043325,0.484375,0.247222,1,0.2,0.5,0.2
2267,'2025/11/27 11:08:42:048',23,8.427928,0.335273,57.537823,0.043325,0.484375,0.247222,1,0.2,0.5,0.2
2268,'2025/11/27 11:08:42:223',23,8.401379,0.325052,57.076481,0.026549,0.482812,0.238889,1,0.2,0.5,0.2
2269,'2025/11/27 11:08:42:234',23,8.401379,0.325052,57.076481,0.026549,0.482812,0.238889,1,0.2,0.5,0.2
2270,'2025/11/27 11:08:42:249',23,8.401379,0.325052,57.076481,0.026549,0.482812,0.238889,1,0.2,0.5,0.2
2271,'2025/11/27 11:08:42:425',23,8.305488,0.338772,55.620502,0.095891,0.484375,0.252778,1,0.2,0.5,0.2
2272,'2025/11/27 11:08:42:438',23,8.305488,0.338772,55.620502,0.095891,0.484375,0.252778,1,0.2,0.5,0.2
2273,'2025/11/27 11:08:42:454',23,8.305488,0.338772,55.620502,0.095891,0.484375,0.252778,1,0.2,0.5,0.2
